327 6,799175
328,9579 1219,49
328,97 1231,22
328,982 1243,004
328,994 1254,796
329,006 1266,557
329,018 1278,26
329,03 1289,896
329,0421 1301,47
329,054 1313,001
329,0661 1324,515
329,0781 1336,038
329,0901 1347,596
329,1021 1359,212
329,1141 1370,904
329,1261 1382,684
329,1382 1394,559
329,1501 1406,53
329,1622 1418,59
329,1742 1430,728
329,1862 1442,927
329,1982 1455,17
329,2102 1467,438
329,2222 1479,717
329,2342 1492,001
329,2462 1504,291
329,2583 1516,597
329,2703 1528,941
329,2823 1541,352
329,2943 1553,866
329,3063 1566,519
329,3183 1579,348
329,3303 1592,382
329,3423 1605,638
329,3543 1619,122
329,3664 1632,825
329,3784 1646,727
329,3904 1660,799
329,4024 1675,011
329,4144 1689,336
329,4264 1703,755
329,4384 1718,26
329,4504 1732,85
329,4625 1747,534
329,4745 1762,321
329,4865 1777,22
329,4985 1792,236
329,5105 1807,372
329,5225 1822,632
329,5345 1838,02
329,5465 1853,545
329,5586 1869,223
329,5706 1885,067
329,5826 1901,088
329,5946 1917,288
329,6066 1933,652
329,6186 1950,149
329,6306 1966,733
329,6426 1983,346
329,6547 1999,929
329,6667 2016,428
329,6787 2032,805
329,6907 2049,046
329,7027 2065,158
329,7147 2081,177
329,7267 2097,153
329,7387 2113,145
329,7508 2129,213
329,7628 2145,404
329,7748 2161,749
329,7868 2178,26
329,7988 2194,933
329,8108 2211,754
329,8228 2228,706
329,8348 2245,777
329,8468 2262,965
329,8589 2280,278
329,8709 2297,739
329,8829 2315,375
329,8949 2333,217
329,9069 2351,292
329,9189 2369,621
329,9309 2388,21
329,9429 2407,052
329,955 2426,128
329,967 2445,405
329,979 2464,847
329,991 2484,415
330,003 2504,071
330,015 2523,785
330,027 2543,528
330,039 2563,275
330,0511 2583
330,063 2602,671
330,0751 2622,252
330,0871 2641,703
330,0991 2660,988
330,1111 2680,079
330,1231 2698,967
330,1351 2717,666
330,1472 2736,218
330,1591 2754,688
330,1712 2773,162
330,1832 2791,739
330,1952 2810,515
330,2072 2829,578
330,2192 2848,996
330,2312 2868,814
330,2433 2889,051
330,2552 2909,699
330,2673 2930,73
330,2793 2952,095
330,2913 2973,734
330,3033 2995,581
330,3153 3017,569
330,3273 3039,636
330,3393 3061,732
330,3513 3083,822
330,3634 3105,888
330,3754 3127,927
330,3874 3149,951
330,3994 3171,975
330,4114 3194,009
330,4234 3216,054
330,4354 3238,099
330,4474 3260,115
330,4595 3282,07
330,4715 3303,935
330,4835 3325,693
330,4955 3347,354
330,5075 3368,952
330,5195 3390,545
330,5315 3412,204
330,5435 3434
330,5555 3455,991
330,5676 3478,208
330,5796 3500,654
330,5916 3523,305
330,6036 3546,114
330,6156 3569,021
330,6276 3591,969
330,6396 3614,902
330,6516 3637,782
330,6637 3660,582
330,6757 3683,292
330,6877 3705,915
330,6997 3728,468
330,7117 3750,978
330,7237 3773,484
330,7357 3796,039
330,7477 3818,705
330,7598 3841,549
330,7718 3864,639
330,7838 3888,037
330,7958 3911,784
330,8078 3935,894
330,8198 3960,353
330,8318 3985,113
330,8438 4010,099
330,8559 4035,215
330,8679 4060,359
330,8799 4085,426
330,8919 4110,327
330,9039 4134,989
330,9159 4159,366
330,9279 4183,443
330,9399 4207,234
330,952 4230,782
330,964 4254,155
330,976 4277,437
330,988 4300,716
331 4324,077
331,012 4347,588
331,024 4371,291
331,036 4395,205
331,048 4419,322
331,0601 4443,615
331,0721 4468,045
331,0841 4492,572
331,0961 4517,156
331,1081 4541,768
331,1201 4566,389
331,1321 4591,012
331,1441 4615,641
331,1562 4640,291
331,1682 4664,98
331,1802 4689,733
331,1922 4714,572
331,2042 4739,515
331,2162 4764,577
331,2282 4789,765
331,2402 4815,081
331,2523 4840,52
331,2643 4866,072
331,2763 4891,717
331,2883 4917,428
331,3003 4943,17
331,3123 4968,901
331,3243 4994,577
331,3363 5020,156
331,3484 5045,605
331,3604 5070,9
331,3724 5096,031
331,3844 5120,993
331,3964 5145,791
331,4084 5170,427
331,4204 5194,908
331,4324 5219,239
331,4445 5243,436
331,4565 5267,523
331,4685 5291,541
331,4805 5315,54
331,4925 5339,573
331,5045 5363,689
331,5165 5387,915
331,5285 5412,246
331,5405 5436,648
331,5526 5461,055
331,5646 5485,388
331,5766 5509,569
331,5886 5533,543
331,6006 5557,295
331,6126 5580,849
331,6246 5604,272
331,6366 5627,658
331,6487 5651,108
331,6607 5674,708
331,6727 5698,513
331,6847 5722,538
331,6967 5746,756
331,7087 5771,102
331,7207 5795,486
331,7327 5819,804
331,7448 5843,95
331,7567 5867,814
331,7688 5891,297
331,7808 5914,299
331,7928 5936,73
331,8048 5958,51
331,8168 5979,577
331,8288 5999,898
331,8409 6019,477
331,8528 6038,361
331,8649 6056,644
331,8769 6074,46
331,8889 6091,968
331,9009 6109,335
331,9129 6126,711
331,9249 6144,206
331,937 6161,874
331,9489 6179,706
331,961 6197,632
331,973 6215,53
331,985 6233,252
331,997 6250,644
332,009 6267,569
332,021 6283,926
332,033 6299,655
332,045 6314,738
332,0571 6329,191
332,0691 6343,047
332,0811 6356,352
332,0931 6369,143
332,1051 6381,451
332,1171 6393,294
332,1291 6404,676
332,1411 6415,59
332,1532 6426,021
332,1652 6435,943
332,1772 6445,327
332,1892 6454,135
332,2012 6462,332
332,2132 6469,885
332,2252 6476,77
332,2372 6482,974
332,2492 6488,494
332,2613 6493,334
332,2733 6497,502
332,2853 6501,004
332,2973 6503,834
332,3093 6505,981
332,3213 6507,421
332,3333 6508,12
332,3453 6508,039
332,3574 6507,136
332,3694 6505,368
332,3814 6502,688
332,3934 6499,053
332,4054 6494,422
332,4174 6488,761
332,4294 6482,048
332,4414 6474,277
332,4535 6465,464
332,4655 6455,639
332,4775 6444,851
332,4895 6433,149
332,5015 6420,581
332,5135 6407,176
332,5255 6392,945
332,5375 6377,87
332,5496 6361,918
332,5616 6345,044
332,5736 6327,205
332,5856 6308,368
332,5976 6288,515
332,6096 6267,647
332,6216 6245,777
332,6336 6222,917
332,6457 6199,077
332,6577 6174,247
332,6697 6148,397
332,6817 6121,475
332,6937 6093,407
332,7057 6064,106
332,7177 6033,48
332,7297 6001,441
332,7417 5967,91
332,7538 5932,83
332,7658 5896,168
332,7778 5857,92
332,7898 5818,11
332,8018 5776,788
332,8138 5734,023
332,8258 5689,896
332,8378 5644,489
332,8499 5597,873
332,8618 5550,1
332,8739 5501,202
332,8859 5451,188
332,8979 5400,05
332,9099 5347,775
332,9219 5294,352
332,9339 5239,777
332,946 5184,058
332,9579 5127,208
332,97 5069,237
332,982 5010,145
332,994 4949,902
333,006 4888,457
333,018 4825,732
333,03 4761,64
333,0421 4696,096
333,054 4629,039
333,0661 4560,447
333,0781 4490,343
333,0901 4418,799
333,1021 4345,928
333,1141 4271,867
333,1261 4196,763
333,1382 4120,753
333,1501 4043,949
333,1622 3966,43
333,1742 3888,233
333,1862 3809,362
333,1982 3729,789
333,2102 3649,466
333,2222 3568,334
333,2342 3486,333
333,2462 3403,405
333,2583 3319,5
333,2703 3234,576
333,2823 3148,603
333,2943 3061,565
333,3063 2973,464
333,3183 2884,321
333,3303 2794,178
333,3423 2703,096
333,3543 2611,147
333,3664 2518,408
333,3784 2424,945
333,3904 2330,813
333,4024 2236,048
333,4144 2140,67
333,4264 2044,692
333,4384 1948,129
333,4504 1851,012
333,4625 1753,388
333,4745 1655,331
333,4865 1556,933
333,4985 1458,3
333,5105 1359,538
333,5225 1260,747
333,5345 1162,008
333,5465 1063,379
333,5586 964,8897
333,5706 866,5454
333,5826 768,3263
333,5946 670,1942
333,6066 572,0986
333,6186 473,9838
333,6306 375,7958
333,6426 277,4889
333,6547 179,0305
333,6667 80,40473
333,6787 -18,38597
333,6907 -117,3206
333,7027 -216,3613
333,7147 -315,4571
333,7267 -414,5487
333,7387 -513,5754
333,7508 -612,4808
333,7628 -711,2185
333,7748 -809,7534
333,7868 -908,0604
333,7988 -1006,119
333,8108 -1103,905
333,8228 -1201,385
333,8348 -1298,509
333,8468 -1395,211
333,8589 -1491,414
333,8709 -1587,032
333,8829 -1681,988
333,8949 -1776,212
333,9069 -1869,65
333,9189 -1962,266
333,9309 -2054,034
333,9429 -2144,939
333,955 -2234,97
333,967 -2324,114
333,979 -2412,358
333,991 -2499,687
334,003 -2586,082
334,015 -2671,526
334,027 -2756,004
334,039 -2839,502
334,0511 -2922,016
334,063 -3003,547
334,0751 -3084,103
334,0871 -3163,697
334,0991 -3242,34
334,1111 -3320,038
334,1231 -3396,779
334,1351 -3472,533
334,1472 -3547,248
334,1591 -3620,858
334,1712 -3693,288
334,1832 -3764,463
334,1952 -3834,315
334,2072 -3902,79
334,2192 -3969,849
334,2312 -4035,468
334,2433 -4099,636
334,2552 -4162,355
334,2673 -4223,64
334,2793 -4283,517
334,2913 -4342,027
334,3033 -4399,216
334,3153 -4455,137
334,3273 -4509,837
334,3393 -4563,358
334,3513 -4615,728
334,3634 -4666,965
334,3754 -4717,078
334,3874 -4766,071
334,3994 -4813,949
334,4114 -4860,717
334,4234 -4906,38
334,4354 -4950,938
334,4474 -4994,383
334,4595 -5036,688
334,4715 -5077,806
334,4835 -5117,677
334,4955 -5156,229
334,5075 -5193,39
334,5195 -5229,104
334,5315 -5263,332
334,5435 -5296,066
334,5555 -5327,326
334,5676 -5357,153
334,5796 -5385,603
334,5916 -5412,737
334,6036 -5438,618
334,6156 -5463,3
334,6276 -5486,832
334,6396 -5509,257
334,6516 -5530,617
334,6637 -5550,947
334,6757 -5570,282
334,6877 -5588,655
334,6997 -5606,092
334,7117 -5622,615
334,7237 -5638,241
334,7357 -5652,982
334,7477 -5666,847
334,7598 -5679,841
334,7718 -5691,969
334,7838 -5703,232
334,7958 -5713,63
334,8078 -5723,159
334,8198 -5731,813
334,8318 -5739,583
334,8438 -5746,458
334,8559 -5752,427
334,8679 -5757,482
334,8799 -5761,623
334,8919 -5764,855
334,9039 -5767,195
334,9159 -5768,669
334,9279 -5769,313
334,9399 -5769,166
334,952 -5768,271
334,964 -5766,67
334,976 -5764,396
334,988 -5761,474
335 -5757,917
335,012 -5753,727
335,024 -5748,896
335,036 -5743,413
335,048 -5737,268
335,0601 -5730,46
335,0721 -5723,002
335,0841 -5714,929
335,0961 -5706,291
335,1081 -5697,152
335,1201 -5687,581
335,1321 -5677,633
335,1441 -5667,346
335,1562 -5656,723
335,1682 -5645,732
335,1802 -5634,309
335,1922 -5622,364
335,2042 -5609,801
335,2162 -5596,536
335,2282 -5582,512
335,2402 -5567,718
335,2523 -5552,19
335,2643 -5536,013
335,2763 -5519,306
335,2883 -5502,204
335,3003 -5484,836
335,3123 -5467,307
335,3243 -5449,681
335,3363 -5431,979
335,3484 -5414,182
335,3604 -5396,239
335,3724 -5378,088
335,3844 -5359,664
335,3964 -5340,907
335,4084 -5321,778
335,4204 -5302,25
335,4324 -5282,313
335,4445 -5261,966
335,4565 -5241,215
335,4685 -5220,071
335,4805 -5198,544
335,4925 -5176,641
335,5045 -5154,367
335,5165 -5131,724
335,5285 -5108,718
335,5405 -5085,359
335,5526 -5061,673
335,5646 -5037,7
335,5766 -5013,499
335,5886 -4989,142
335,6006 -4964,709
335,6126 -4940,28
335,6246 -4915,918
335,6366 -4891,675
335,6487 -4867,576
335,6607 -4843,627
335,6727 -4819,815
335,6847 -4796,114
335,6967 -4772,482
335,7087 -4748,873
335,7207 -4725,231
335,7327 -4701,498
335,7448 -4677,608
335,7567 -4653,502
335,7688 -4629,124
335,7808 -4604,434
335,7928 -4579,415
335,8048 -4554,076
335,8168 -4528,459
335,8288 -4502,637
335,8409 -4476,705
335,8528 -4450,766
335,8649 -4424,921
335,8769 -4399,252
335,8889 -4373,806
335,9009 -4348,594
335,9129 -4323,59
335,9249 -4298,744
335,937 -4273,989
335,9489 -4249,26
335,961 -4224,506
335,973 -4199,692
335,985 -4174,802
335,997 -4149,835
336,009 -4124,793
336,021 -4099,677
336,033 -4074,479
336,045 -4049,184
336,0571 -4023,767
336,0691 -3998,208
336,0811 -3972,495
336,0931 -3946,633
336,1051 -3920,652
336,1171 -3894,608
336,1291 -3868,584
336,1411 -3842,677
336,1532 -3816,99
336,1652 -3791,611
336,1772 -3766,605
336,1892 -3741,995
336,2012 -3717,761
336,2132 -3693,847
336,2252 -3670,169
336,2372 -3646,634
336,2492 -3623,16
336,2613 -3599,686
336,2733 -3576,179
336,2853 -3552,631
336,2973 -3529,045
336,3093 -3505,427
336,3213 -3481,773
336,3333 -3458,063
336,3453 -3434,264
336,3574 -3410,337
336,3694 -3386,252
336,3814 -3361,995
336,3934 -3337,577
336,4054 -3313,036
336,4174 -3288,433
336,4294 -3263,836
336,4414 -3239,316
336,4535 -3214,932
336,4655 -3190,723
336,4775 -3166,707
336,4895 -3142,878
336,5015 -3119,223
336,5135 -3095,719
336,5255 -3072,352
336,5375 -3049,12
336,5496 -3026,036
336,5616 -3003,128
336,5736 -2980,431
336,5856 -2957,979
336,5976 -2935,793
336,6096 -2913,877
336,6216 -2892,21
336,6336 -2870,748
336,6457 -2849,428
336,6577 -2828,178
336,6697 -2806,925
336,6817 -2785,603
336,6937 -2764,163
336,7057 -2742,577
336,7177 -2720,839
336,7297 -2698,968
336,7417 -2676,998
336,7538 -2654,978
336,7658 -2632,96
336,7778 -2610,994
336,7898 -2589,118
336,8018 -2567,354
336,8138 -2545,712
336,8258 -2524,189
336,8378 -2502,778
336,8499 -2481,476
336,8618 -2460,288
336,8739 -2439,232
336,8859 -2418,335
336,8979 -2397,626
336,9099 -2377,127
336,9219 -2356,842
336,9339 -2336,754
336,946 -2316,822
336,9579 -2296,991
336,97 -2277,199
336,982 -2257,396
336,994 -2237,546
337,006 -2217,639
337,018 -2197,688
337,03 -2177,717
337,0421 -2157,753
337,054 -2137,813
337,0661 -2117,903
337,0781 -2098,008
337,0901 -2078,105
337,1021 -2058,169
337,1141 -2038,184
337,1261 -2018,151
337,1382 -1998,092
337,1501 -1978,051
337,1622 -1958,083
337,1742 -1938,252
337,1862 -1918,612
337,1982 -1899,202
337,2102 -1880,038
337,2222 -1861,114
337,2342 -1842,396
337,2462 -1823,837
337,2583 -1805,384
337,2703 -1786,989
337,2823 -1768,619
337,2943 -1750,264
337,3063 -1731,938
337,3183 -1713,683
337,3303 -1695,558
337,3423 -1677,629
337,3543 -1659,963
337,3664 -1642,615
337,3784 -1625,618
337,3904 -1608,981
337,4024 -1592,682
337,4144 -1576,672
337,4264 -1560,877
337,4384 -1545,21
337,4504 -1529,58
337,4625 -1513,9
337,4745 -1498,1
337,4865 -1482,134
337,4985 -1465,98
337,5105 -1449,641
337,5225 -1433,139
337,5345 -1416,515
337,5465 -1399,816
337,5586 -1383,1
337,5706 -1366,426
337,5826 -1349,854
337,5946 -1333,44
337,6066 -1317,236
337,6186 -1301,284
337,6306 -1285,612
337,6426 -1270,235
337,6547 -1255,149
337,6667 -1240,337
337,6787 -1225,767
337,6907 -1211,397
337,7027 -1197,181
337,7147 -1183,074
337,7267 -1169,038
337,7387 -1155,049
337,7508 -1141,105
337,7628 -1127,224
337,7748 -1113,444
337,7868 -1099,818
337,7988 -1086,397
337,8108 -1073,223
337,8228 -1060,309
337,8348 -1047,637
337,8468 -1035,151
337,8589 -1022,769
337,8709 -1010,392
337,8829 -997,9211
337,8949 -985,2757
337,9069 -972,4063
337,9189 -959,3016
337,9309 -945,9893
337,9429 -932,5294
337,955 -919,0029
337,967 -905,4969
337,979 -892,0906
337,991 -878,843
338,003 -865,7863
338,015 -852,925
338,027 -840,2414
338,039 -827,7051
338,0511 -815,2841
338,063 -802,9543
338,0751 -790,7057
338,0871 -778,5419
338,0991 -766,4752
338,1111 -754,5186
338,1231 -742,6771
338,1351 -730,942
338,1472 -719,2886
338,1591 -707,679
338,1712 -696,0679
338,1832 -684,4104
338,1952 -672,669
338,2072 -660,8179
338,2192 -648,845
338,2312 -636,7518
338,2433 -624,5508
338,2552 -612,2643
338,2673 -599,9222
338,2793 -587,5617
338,2913 -575,226
338,3033 -562,9631
338,3153 -550,8221
338,3273 -538,8489
338,3393 -527,0792
338,3513 -515,5336
338,3634 -504,214
338,3754 -493,1033
338,3874 -482,17
338,3994 -471,3753
338,4114 -460,6815
338,4234 -450,0593
338,4354 -439,4919
338,4474 -428,9741
338,4595 -418,5081
338,4715 -408,0971
338,4835 -397,7389
338,4955 -387,4238
338,5075 -377,1354
338,5195 -366,8563
338,5315 -356,5753
338,5435 -346,2943
338,5555 -336,0319
338,5676 -325,8214
338,5796 -315,7054
338,5916 -305,726
338,6036 -295,9148
338,6156 -286,2861
338,6276 -276,8326
338,6396 -267,5271
338,6516 -258,3275
338,6637 -249,1847
338,6757 -240,0495
338,6877 -230,8796
338,6997 -221,6432
338,7117 -212,3205
338,7237 -202,9047
338,7357 -193,4002
338,7477 -183,822
338,7598 -174,1938
338,7718 -164,5461
338,7838 -154,9133
338,7958 -145,3303
338,8078 -135,8287
338,8198 -126,434
338,8318 -117,1641
338,8438 -108,0298
338,8559 -99,038
338,8679 -90,19644
338,8799 -81,51944
338,8919 -73,03268
338,9039 -64,77624
338,9159 -56,80489
338,9279 -49,18556
338,9399 -41,99234
338,952 -35,2999
338,964 -29,17634
338,976 -23,67654
338,988 -18,83672
339 -14,67087
